event_type,timestamp,user_id,event_id,metadata,source,error_reason
search,2026-06-19T21:58:28,4554,evt_000002,random search,web,duplicate_event
add_to_cart,,5154,evt_000003,added product to shopping cart,web,missing_timestamp
add_to_cart,2026-06-23T02:08:58,2502,,added item to cart,desktop_app,missing_event_id
scroll,2026-06-24T20:43:24,8380,evt_000030,barely scrolling,desktop_app,duplicate_event
,2026-06-20T08:03:27,7420,evt_000032,scrolled down,mobil,missing_event_type
remove_from_cart,2026-06-17T07:25:50,9958,evt_000039,removed item from cart,tablet,duplicate_event
add_to_cart,2026-06-16T02:14:22,4054,,cart updated,web,missing_event_id
add_to_cart,2026-06-22T03:07:44,275,,,mobile_ios,missing_event_id
,2026-06-20T19:45:03,,evt_000056,page refresh loop??,unknown_source,missing_event_type;missing_user_id
,2026-06-15T05:26:02,6827,evt_000059,removed item from cart,mobile_ios,missing_event_type
scroll,,4332,evt_000062,"slow scroll, reading carefully",mobile_android,invalid_timestamp
scroll,,3676,evt_000063,barely scrolling,mobile_ios,missing_timestamp
page_view,2026-06-26T05:33:44,1060,evt_000066,viewed product page,mobil,duplicate_event
remove_from_cart,,7070,evt_000067,removed product,,missing_timestamp
,2026-06-19T13:16:36,1800,evt_000068,,tablet,missing_event_type
purchase,2026-06-26T09:06:38,7871,evt_000072,purchase completed,desktop_app,duplicate_event
add_to_cart,2026-06-23T11:18:34,3011,evt_000081,added product to shopping cart,desktop_app,duplicate_event
REMOVE_FROM_CART,2026-06-20T00:27:38,3131,evt_000083,removed item from cart,web,duplicate_event
page_view,2026-06-26T17:39:09,,evt_000088,viewed product page,desktop_app,missing_user_id
search,2026-06-17T09:40:44,5758,,search query: headphones,unknown_source,missing_event_id
page_view,2026-06-26T01:33:07,7533,,opened page then immediately left,web,missing_event_id
page_view,2026-06-26T10:47:39,7536,,opened page then immediately left,WEB,missing_event_id
page_view,2026-06-16T05:09:31,3516,,viewed product page,mobil,missing_event_id
,2026-06-25T08:51:45,5772,evt_000101,,api_v2,invalid_event_type
,,8276,evt_000112,search query: headphones,mobile_ios,missing_event_type;invalid_timestamp
page_view,,6561,evt_000113,,desktop_app,missing_timestamp
add_to_cart,2026-06-23T04:38:53,9317,,,web,missing_event_id
,2026-06-19T15:12:07,4525,evt_000126,,web,missing_event_type
,2026-06-26T09:01:14,7325,evt_000128,search query: headphones,desktop_app,missing_event_type
add_to_cart,2026-06-26T07:18:48,,evt_000138,accidental add to cart,web,missing_user_id
scroll,,2224,evt_000141,scroll??,api_v2,missing_timestamp
,2026-06-20T12:41:24,8723,evt_000142,viewed product page,desktop_app,missing_event_type
,2026-06-23T07:22:49,,evt_000150,landed on homepage,web,missing_event_type;missing_user_id
page_view,2026-06-19T12:28:08,,evt_000151,,web,missing_user_id
,,6665,evt_000159,,email,invalid_event_type;invalid_timestamp
add_to_cart,2026-06-18T04:05:49,6035,,added item to cart,desktop_app,missing_event_id
